,Line,English name,Russian name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
156,8,Perovo,Перово,"55.7511,37.7866",5,16,0,37,6,23,64,18,76,16
157,8,Novogireyevo,Новогиреево,"55.7517,37.8166",6,11,0,32,11,13,53,21,90,20
158,8,Novokosino,Новокосино,"55.7451,37.8638",5,8,0,41,9,23,51,26,90,9
159,9,Altufyevo,Алтуфьево,"55.8980,37.5870",3,10,0,22,6,25,47,32,63,7
160,9,Bibirevo,Бибирево,"55.8838,37.6034",5,8,0,26,7,12,58,24,59,6
161,9,Otradnoye,Отрадное,"55.8633,37.6047",7,8,0,25,8,25,65,39,82,13
162,9,Vladykino,Владыкино,"55.8473,37.5899",5,7,0,29,4,8,58,4,40,23
163,9,Petrovsko-Razumovskaya,Петровско-Разумовская,"55.8351,37.5745",5,18,0,18,6,16,40,15,60,15
164,9,Timiryazevskaya,Тимирязевская,"55.8176,37.5765",8,16,0,23,5,30,69,33,68,20
165,9,Dmitrovskaya,Дмитровская,"55.8069,37.5817",22,18,1,78,16,30,133,24,101,17
166,9,Savyolovskaya,Савёловская,"55.7927,37.5885",39,30,1,82,22,47,158,27,108,26
167,9,Mendeleyevskaya,Менделеевская,"55.7810,37.6011",56,73,0,111,45,59,158,33,122,38
168,9,Tsvetnoy Bulvar,Цветной бульвар,"55.7708,37.6187",84,47,3,138,84,74,169,38,148,60
169,9,Chekhovskaya,Чеховская,"55.7644,37.6097",131,63,3,238,133,86,167,40,177,92
170,9,Borovitskaya,Боровицкая,"55.7511,37.6072",111,69,1,128,44,72,184,40,147,73
171,9,Polyanka,Полянка,"55.7379,37.6180",64,60,1,157,53,64,155,35,114,55
172,9,Serpukhovskaya,Серпуховская,"55.7280,37.6246",40,84,0,99,27,53,167,28,105,56
173,9,Tulskaya,Тульская,"55.7087,37.6229",22,29,1,63,16,26,118,24,106,25
174,9,Nagatinskaya,Нагатинская,"55.6830,37.6224",4,24,0,28,5,18,83,12,54,16
175,9,Nagornaya,Нагорная,"55.6724,37.6104",7,13,0,11,4,26,38,18,45,12
176,9,Nakhimovsky Prospekt,Нахимовский проспект,"55.6627,37.6055",8,20,0,17,5,18,47,31,52,14
177,9,Sevastopolskaya,Севастопольская,"55.6524,37.5984",4,12,0,35,8,31,71,21,73,16
178,9,Chertanovskaya,Чертановская,"55.6405,37.6067",5,10,0,23,10,41,63,33,64,16
179,9,Yuzhnaya,Южная,"55.6224,37.6090",4,14,0,27,6,33,52,26,70,15
180,9,Prazhskaya,Пражская,"55.6124,37.6044",4,11,0,37,10,32,49,22,98,18
181,9,Ulitsa Akademika Yangelya,Улица академика Янгеля,"55.5949,37.6004",6,12,0,17,11,16,62,35,65,11
182,9,Annino,Аннино,"55.5828,37.5966",3,8,0,14,6,3,44,13,37,6
183,9,Bulvar Dmitriya Donskogo,Бульвар Дмитрия Донского,"55.5693,37.5769",6,9,0,24,8,31,61,34,78,12
184,10,Seligerskaya,Селигерская,"55.865000,37.548333",9,7,0,19,8,13,46,13,61,15
185,10,Verkhnie Likhobory,Верхние Лихоборы,"55.855833,37.561111",2,6,0,15,10,16,52,17,40,16
186,10,Okruzhnaya,Окружная,"55.846000,37.574250",6,14,0,39,6,11,60,8,47,33
187,10,Petrovsko-Razumovskaya,Петровско-Разумовская,"55.8351,37.5745",5,18,0,18,6,16,40,15,60,15
188,10,Fonvizinskaya,Фонвизинская,"55.8228,37.5881",5,20,0,26,6,23,69,36,84,21
189,10,Butyrskaya,Бутырская,"55.8133,37.6028",4,14,0,20,4,11,76,5,45,16
190,10,Maryina Roshcha,Марьина Роща,"55.7954,37.6162",26,48,3,54,13,29,101,21,116,16
191,10,Dostoyevskaya,Достоевская,"55.7816,37.6151",53,50,0,108,48,56,149,31,93,34
192,10,Trubnaya,Трубная,"55.7688,37.6200",97,49,3,173,116,74,164,32,151,64
193,10,Sretensky Bulvar,Сретенский бульвар,"55.7668,37.6392",63,53,0,190,114,57,180,31,142,69
194,10,Chkalovskaya,Чкаловская,"55.7565,37.6573",77,92,3,107,53,69,141,33,168,69
